2025-01-28 06:56:27 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2025-01-28 06:56:27 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-01-28 06:56:27 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-01-28 06:56:27 install libgnutls30:amd64 <none> 3.7.9-2+deb12u3
2025-01-28 06:56:27 status half-installed libgnutls30:amd64 3.7.9-2+deb12u3
2025-01-28 06:56:27 status unpacked libgnutls30:amd64 3.7.9-2+deb12u3
2025-01-28 06:56:27 install libgpg-error0:amd64 <none> 1.46-1
2025-01-28 06:56:27 status half-installed libgpg-error0:amd64 1.46-1
2025-01-28 06:56:27 status unpacked libgpg-error0:amd64 1.46-1
2025-01-28 06:56:27 install libhogweed6:amd64 <none> 3.8.1-2
2025-01-28 06:56:27 status half-installed libhogweed6:amd64 3.8.1-2
2025-01-28 06:56:27 status unpacked libhogweed6:amd64 3.8.1-2
2025-01-28 06:56:27 install libidn2-0:amd64 <none> 2.3.3-1+b1
2025-01-28 06:56:27 status half-installed libidn2-0:amd64 2.3.3-1+b1
2025-01-28 06:56:27 status unpacked libidn2-0:amd64 2.3.3-1+b1
2025-01-28 06:56:27 install liblz4-1:amd64 <none> 1.9.4-1
2025-01-28 06:56:27 status half-installed liblz4-1:amd64 1.9.4-1
2025-01-28 06:56:27 status unpacked liblz4-1:amd64 1.9.4-1
2025-01-28 06:56:27 install liblzma5:amd64 <none> 5.4.1-0.2
2025-01-28 06:56:27 status half-installed liblzma5:amd64 5.4.1-0.2
2025-01-28 06:56:27 status unpacked liblzma5:amd64 5.4.1-0.2
2025-01-28 06:56:27 install libmd0:amd64 <none> 1.0.4-2
2025-01-28 06:56:27 status half-installed libmd0:amd64 1.0.4-2
2025-01-28 06:56:27 status unpacked libmd0:amd64 1.0.4-2
2025-01-28 06:56:27 install libmount1:amd64 <none> 2.38.1-5+deb12u3
2025-01-28 06:56:27 status half-installed libmount1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:28 status unpacked libmount1:amd64 2.38.1-5+deb12u3
2025-01-28 06:56:28 install libnettle8:amd64 <none> 3.8.1-2
2025-01-28 06:56:28 status half-installed libnettle8:amd64 3.8.1-2
2025-01-28 06:56:28 status unpacked libnettle8:amd64 3.8.1-2
2025-01-28 06:56:28 install libp11-kit0:amd64 <none> 0.24.1-2
2025-01-28 06:56:28 status half-installed libp11-kit0:amd64 0.24.1-2
2025-01-28 06:56:28 status unpacked libp11-kit0:amd64 0.24.1-2
2025-01-28 06:56:28 install libpam-modules:amd64 <none> 1.5.2-6+deb12u1
2025-01-28 06:56:28 status half-installed libpam-modules:amd64 1.5.2-6+deb12u1
2025-01-28 06:56:28 status unpacked libpam-modules:amd64 1.5.2-6+deb12u1
2025-01-28 06:56:28 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
2025-01-28 06:56:28 status half-installed libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-01-28 06:56:28 status unpacked libpam-modules-bin:amd64 1.5.2-6+deb12u1
2025-01-28 06:56:28 install libpam-runtime:all <none> 1.5.2-6+deb12u1
2025-01-28 06:56:28 status half-installed libpam-runtime:all 1.5.2-6+deb12u1
2025-01-28 06:56:28 status unpacked libpam-runtime:all 1.5.2-6+deb12u1
2025-01-28 06:56:28 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2025-01-28 06:56:28 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2025-01-28 06:56:28 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2025-01-28 06:56:28 install libpcre2-8-0:amd64 <none> 10.42-1
2025-01-28 06:56:28 status half-installed libpcre2-8-0:amd64 10.42-1
2025-01-28 06:56:28 status unpacked libpcre2-8-0:amd64 10.42-1
2025-01-28 06:56:28 install libseccomp2:amd64 <none> 2.5.4-1+deb12u1
2025-01-28 06:56:28 status half-installed libseccomp2:amd64 2.5.4-1+deb12u1
